run, avgwait, avgtottime
2164, 2.11877472729, 7.323083672
2165, 2.96640952348, 8.53848734955
2166, 6.07258224504, 12.907031651
2167, 3.57329494111, 9.02782059136
2168, 6.7840947351, 13.7371930503
2169, 3.84984671312, 9.5163419323
2170, 4.71288373113, 10.5519115914
2171, 9.16278255994, 16.3768421506
2172, 1.56272222469, 6.6256584897
2173, 3.92120913352, 9.447598704
2174, 2.37660244001, 7.36562855988
2175, 3.79776533188, 10.1792998772
2176, 2.86413113424, 8.6160430069
2177, 4.15308693444, 9.77679902871
2178, 6.54406011764, 13.7386303692
2179, 2.94621903196, 9.10828089091
2180, 4.28827406941, 9.45669114008
2181, 4.43386955192, 10.8790401529
2182, 4.58521821887, 10.4192343232
2183, 4.43587367246, 10.6278146766
2184, 1.89878692423, 6.59217750965
2185, 2.64043281804, 8.15734329274
2186, 5.95612677143, 12.472422707
2187, 5.91302367218, 11.8580453937
2188, 4.13973253635, 10.4270143038
2189, 3.53272708714, 9.63586432167
2190, 2.57934388897, 8.05531395182
2191, 9.10249469842, 16.1192844729
2192, 4.42463653476, 10.5827425174
2193, 3.30591384206, 9.27382431224
2194, 10.1865859369, 15.9231712976
2195, 6.91675325657, 13.8016060994
2196, 3.78590439226, 9.65675746568
2197, 1.84723143006, 6.71246464308
2198, 7.11517162215, 13.4445917506
2199, 6.11155484221, 12.0556020698
2200, 2.3814154285, 6.9429485472
2201, 4.61820274576, 10.091470213
2202, 3.64102240458, 9.23205881732
2203, 6.42901894903, 12.4315860142
2204, 5.42726581985, 12.3149661192
2205, 1.70635010734, 6.48166031924
2206, 6.09161426859, 13.5561082799
2207, 5.27404843335, 10.8168949976
2208, 5.07058498646, 10.9757380264
2209, 4.75905426876, 10.7409499351
2210, 4.37700448454, 10.4051623671
2211, 3.66988838683, 9.13695636592
2212, 2.76545649359, 7.86098603292
2213, 2.07260691402, 7.21229615266
2214, 8.59951911911, 14.5383964233
2215, 4.43817572305, 9.81739826534
2216, 5.07364962689, 11.0842060017
2217, 4.34389941376, 10.4639075917
2218, 4.72841776896, 10.3337047692
2219, 2.20091677009, 7.00772661169
2220, 8.51889025198, 15.3031629733
2221, 5.48816206267, 11.2035301536
2222, 4.24127373118, 10.1293700389
2223, 8.09905406542, 14.1345501405
2224, 2.91499579935, 9.99626935617
2225, 3.70613330404, 9.32449166369
2226, 4.74818337032, 12.1011005562
2227, 11.090981875, 16.9339570234
2228, 3.3007164798, 9.29032760849
2229, 3.94611191806, 10.1102579282
2230, 4.6539668267, 10.9799201205
2231, 4.70216617419, 11.0699475058
2232, 6.99942928891, 12.8496391874
2233, 6.25393806117, 12.3032529139
2234, 7.36809113708, 14.513343169
2235, 11.4684543525, 18.7023525863
2236, 4.69824628411, 10.8288527257
2237, 4.0354116631, 10.1814430965
2238, 8.28306279427, 14.3915701102
2239, 6.30613112411, 12.3712678343
2240, 9.19823563617, 14.4342595223
2241, 13.1620476573, 20.1951722419
2242, 3.6119119336, 8.76733865712
2243, 9.71637006968, 16.0419463634
2244, 4.36547565183, 10.1265282374
2245, 4.29485356931, 10.5538026904
2246, 6.48561091829, 12.4029034869
2247, 5.13454396527, 10.8475898444
2248, 3.3144393495, 9.76581937157
2249, 5.34560127344, 11.9101543516
2250, 3.74721344294, 9.51895858633
2251, 6.3667868949, 12.0388609046
2252, 3.30312776717, 9.64275981513
2253, 4.5044123585, 10.0848275765
2254, 2.99757140462, 9.21869144026
2255, 4.65154396319, 10.1984095643
2256, 6.41617136734, 13.3996869807
2257, 5.53283568316, 12.1499121715
2258, 7.50184406993, 14.1704072647
2259, 5.37255328031, 11.456038452
2260, 4.62817645723, 10.4659510025
2261, 3.71550712583, 9.42206183555
2262, 5.51389608702, 11.5502590634
2263, 2.70448307014, 7.89991837548
2264, 3.11570750267, 7.99480623419
2265, 6.22991582781, 13.1800876267
2266, 1.99927988447, 6.48950662399
2267, 2.68879545707, 7.47268922062
2268, 4.37904214906, 9.73969451168
2269, 7.08331828178, 13.610637158
2270, 7.51252461551, 13.4464197722
2271, 3.35648551324, 8.95527566959
2272, 2.62064636984, 7.94319923711
2273, 4.04668723868, 9.98228727417
2274, 5.87194903884, 11.7313157022
2275, 6.78774327609, 14.1178808019
2276, 14.6996782102, 21.2569053203
2277, 10.3023308516, 17.6525681084
2278, 2.25679151826, 7.28017382265
2279, 4.14933142426, 10.35901181
2280, 4.01783886059, 9.91393965179
2281, 5.66917282793, 12.0306843763
2282, 7.31423896996, 13.760358286
2283, 7.82608815773, 14.5113088254
2284, 4.57444815415, 10.508718615
2285, 8.86820081348, 15.3712350427
2286, 4.92493482975, 12.1206950653
2287, 11.4615941145, 18.7226086881
2288, 5.37934377379, 11.0406537366
2289, 3.63026417334, 8.8429732682
2290, 5.01597263339, 11.1711454909
2291, 2.87492171852, 8.36327674436
2292, 3.76751069377, 9.64996159958
2293, 12.5013745503, 19.8054621201
2294, 8.4018226022, 15.4137679981
2295, 7.18907487146, 13.7206603072
2296, 3.69147187023, 9.37746969634
2297, 4.27431844833, 9.91566250765
2298, 2.63922121271, 8.68411742951
2299, 3.70041965036, 9.3643632597
2300, 4.66379520134, 11.1964005492
2301, 6.24032224598, 12.5407264942
2302, 4.19220589826, 10.135408743
2303, 5.10305891554, 11.2734251499
2304, 2.22405654517, 7.36395287143
2305, 4.64909004487, 10.8548007571
2306, 3.40360673791, 9.24405161812
2307, 4.63371191047, 10.645433966
2308, 6.69775504659, 12.9132596163
2309, 4.85186230814, 11.6137693449
2310, 5.31174446875, 10.1712208993
2311, 6.29948577171, 12.3407742471
2312, 6.22841305564, 12.5791849988
2313, 5.07829662266, 11.7554631985
2314, 6.70524633211, 14.4792323795
2315, 2.69461672288, 8.25482220227
2316, 2.95371030492, 8.64378879515
2317, 5.7528313148, 11.3025507277
2318, 2.69844334014, 8.6287659842
2319, 3.07752677793, 8.69400350178
2320, 4.88421787091, 10.7853106334
2321, 8.20236198881, 15.4375209855
2322, 7.75819386374, 15.2697360501
2323, 6.49341790642, 12.1597990008
2324, 6.25915633783, 12.2199399152
2325, 6.13390878319, 10.9867380897
2326, 3.05699725589, 8.13028528563
2327, 3.26376024536, 8.9274398212
2328, 3.13326991937, 8.75393774961
2329, 4.49935872929, 10.274276392
2330, 5.2941126908, 11.7465600623
2331, 4.1151120632, 9.12372223321
2332, 4.67629237616, 10.2722480499
2333, 2.56874063485, 7.48009167214
2334, 2.97632637039, 8.92609199986
2335, 5.05258171881, 11.0103887357
2336, 4.76567817318, 11.4648749017
2337, 3.0232501011, 8.31756141486
2338, 6.01627855598, 12.8911222694
2339, 9.85419768938, 16.1245792314
2340, 7.09860371472, 13.5894847711
2341, 7.60510242626, 14.453535026
2342, 2.55421251103, 8.16809593556
2343, 4.41906334858, 9.8883809214
2344, 2.67269334603, 7.72848235208
2345, 6.84873793857, 13.495346269
2346, 9.42566873386, 16.620616813
2347, 3.01533283457, 8.49345663555
2348, 2.67791085623, 8.5933734557
2349, 7.03194591796, 13.7763685431
2350, 3.66245103672, 9.52480995983
2351, 2.6456206153, 7.89393654272
2352, 6.01100637869, 12.3521562931
2353, 3.56818452269, 10.1604073106
2354, 3.11427244725, 8.23409875037
2355, 3.74556450116, 8.8070473484
2356, 2.43394246898, 8.21782309539
2357, 2.69233526279, 8.32067462644
2358, 4.643108324, 10.6974389762
2359, 2.76424640014, 8.26622546388
2360, 6.41799164994, 12.7867100765
2361, 12.8002048939, 19.4491082447
2362, 6.36989969268, 12.8644820767
2363, 3.73423963505, 9.00544131092
2364, 4.56520880711, 10.1055462306
2365, 8.96003226406, 16.3676786204
2366, 4.67891531635, 11.2936134549
2367, 2.44127555041, 7.19192727674
2368, 7.86281427815, 14.3534911989
2369, 3.98336576519, 9.79408394984
2370, 2.49215129503, 7.34260283777
2371, 4.45721271423, 10.5711212769
2372, 5.5531493357, 11.136068239
2373, 6.04573828227, 13.0273980297
2374, 3.46232460456, 9.29013837357
2375, 3.9432957893, 9.38693148887
2376, 4.32281952856, 10.6770646255
2377, 5.43739992628, 10.9470071074
2378, 4.30704459972, 10.2759616121
2379, 5.22827138905, 10.7846612766
2380, 3.01961106512, 8.20294539688
2381, 11.6109327291, 18.8758863191
2382, 3.26627841385, 8.30458901074
2383, 6.50229957145, 13.2877885088
2384, 5.54162042548, 10.9397043747
2385, 7.81228913385, 14.0614206024
2386, 3.46074312315, 9.24913770273
2387, 5.46618404879, 10.9918235013
2388, 5.95957053233, 12.267480647
2389, 4.37283284244, 10.7030708137
2390, 4.38741278779, 9.99147132617
2391, 5.06267612247, 12.0475692928
2392, 6.9001936399, 13.995216956
2393, 3.96913880856, 10.6058636339
2394, 3.84506123282, 9.01312383733
2395, 4.0966559193, 10.3336434533
2396, 5.68415470479, 11.2868310607
2397, 6.49435021713, 12.1864203869
2398, 8.55746428675, 16.1977054892
2399, 5.01792397243, 10.7635006444
2400, 3.76017927112, 9.47924922762
2401, 7.22246960145, 14.1148150066
2402, 7.18586528232, 13.5358166405
2403, 2.55859607689, 8.17289828944
2404, 3.707551926, 9.24572168856
2405, 3.53718254841, 10.1576651016
2406, 6.25044428183, 12.8226032796
2407, 4.19268496001, 10.1648614553
2408, 8.23894752865, 15.3803055143
2409, 3.13201862647, 8.69576299006
2410, 4.16739774187, 9.9212355613
2411, 4.02762130906, 9.66150873829
2412, 7.08251693174, 13.4974146627
2413, 4.8981863864, 10.8547306462
2414, 6.90853160304, 13.7849186394
2415, 3.25546832509, 8.66628123003
2416, 5.09490889671, 10.7793193547
2417, 4.77330891079, 10.7700420981
2418, 6.26879255027, 11.8009485219
2419, 2.82248778404, 7.85814365236
2420, 8.3187185186, 13.7624013604
2421, 3.10588994753, 9.25352395909
2422, 10.8783145304, 17.9799664986
2423, 4.64175079187, 12.0447432043
2424, 2.90976801749, 8.30341576977
2425, 5.04550052665, 11.0967042459
2426, 7.50133467294, 13.9073950084
2427, 2.83813521567, 8.25900787903
2428, 2.19687661312, 6.99834674505
2429, 6.41232679536, 12.1354915169
2430, 4.47870960835, 10.3868292612
2431, 3.229067318, 8.87846564242
2432, 5.06262169318, 11.5509547049
2433, 5.92845199107, 12.3645661251
2434, 5.97180968595, 12.1706525071
2435, 4.25434155377, 10.0127012902
2436, 2.79400906394, 7.93167084158
2437, 7.37972948299, 13.872315962
2438, 5.01440086981, 11.9492294438
2439, 12.0993489762, 18.7464545918
2440, 8.07305366235, 14.3852241329
2441, 4.42250719387, 10.4834179889
2442, 3.37601953521, 8.90844636218
2443, 3.04687531116, 8.27034685659
2444, 5.97167567608, 11.675704253
2445, 4.78904384242, 10.7298816672
2446, 3.88038136546, 9.93072531714
2447, 4.71930915812, 11.8113541875
2448, 4.48052637289, 12.0420437151
2449, 3.26414946831, 8.64750192711
2450, 6.15981642555, 12.6403428577
2451, 4.59036150326, 10.3408347789
2452, 7.2299657131, 13.2017815141
2453, 4.52067907136, 9.85384736867
2454, 3.84123703964, 10.1996510077
2455, 8.84164636961, 15.7252590133
2456, 2.99068374039, 8.25914553797
2457, 2.14538067037, 7.15595676234
2458, 4.06151130849, 9.35046024818
2459, 1.75084527595, 6.66134060054
2460, 2.44497732562, 8.07271511915
2461, 5.40360514793, 11.4454305255
2462, 3.90890524339, 9.77324774144
2463, 8.01032608606, 13.5512647894
2464, 3.16091646752, 8.8269518267
2465, 2.40108455857, 7.10937789158
2466, 4.68232449326, 11.5865980517
2467, 6.51745093542, 12.7667458634
2468, 5.78649902895, 12.2683805089
2469, 4.32690317782, 10.4950920296
2470, 6.05421695937, 11.8103882518
2471, 4.57603960495, 10.8772665367
2472, 2.22020480335, 7.47159131135
2473, 4.10148875486, 10.4324541454
2474, 5.16116761555, 10.5861248127
2475, 3.44987700003, 8.71757254432
2476, 9.88084382825, 16.2059782288
2477, 5.19264955932, 12.6268144993
2478, 5.18454335894, 11.8351633372
2479, 3.74939624058, 9.72414315167
2480, 7.42137526487, 13.6320168344
2481, 3.95373732363, 9.13378877741
2482, 6.09500701289, 11.4546042845
2483, 4.75513666987, 11.0244663855
2484, 4.51495025434, 10.4117013608
2485, 4.81164005949, 10.3665630566
2486, 7.99390637363, 14.17987219
2487, 2.78188700551, 8.01836613935
2488, 3.48015449478, 9.41485922465
2489, 2.810829179, 8.48016660436
2490, 3.02386637874, 8.57704608178
2491, 2.81282559811, 8.77181891288
2492, 1.96429761704, 6.76718689859
2493, 5.94498100893, 11.3095675245
2494, 3.67534902883, 9.49480005957
2495, 3.00933265287, 9.21931435607
2496, 3.35900976925, 9.58629282446
2497, 3.08145418085, 8.87720841363
2498, 4.79863893084, 10.7251391278
2499, 3.56891784506, 9.17385662041
2500, 6.1640583274, 12.3267359336
2501, 5.85860058162, 11.3127866649
2502, 2.91516116807, 8.484478952
2503, 2.22304132096, 6.38513657051
2504, 21.9061564759, 29.0416906376
2505, 2.91739967698, 7.6578754767
2506, 2.67562800678, 8.01020816033
2507, 3.36747062763, 8.78250551388
2508, 8.95606277163, 15.9711667617
2509, 7.25262522154, 13.3430790591
2510, 3.32195755399, 8.96185911089
2511, 4.2992242828, 9.93762231868
