u1, u2, avgwait, avgtottime, avgn, avgempty, avgleft
0.3333333333333333, 0.16666666666666666, 4.66880599194, 9.16408233999, 2.26513574746, 0.566502927255, 0.0
0.3333333333333333, 0.14285714285714285, 7.42409722831, 12.4251441111, 2.84920145327, 0.523608896417, 0.0
0.3333333333333333, 0.125, 11.3692007157, 16.8682660092, 3.60344132625, 0.484282519362, 0.0
0.3333333333333333, 0.1111111111111111, 16.7307458004, 22.7339751698, 4.49131982884, 0.455696716349, 0.0
0.3333333333333333, 0.1, 23.3533189059, 29.845639574, 5.47107657214, 0.431956636161, 0.0
0.25, 1.0, 1.33759228307, 3.83884049389, 1.25097049289, 0.7551715624, 0.0
0.25, 0.5, 1.53963363677, 4.54780462396, 1.38901567107, 0.706268620363, 0.0
0.25, 0.3333333333333333, 1.90402320359, 5.40210806508, 1.5572294682, 0.657409815114, 0.0
0.25, 0.25, 2.53897799414, 6.53161882515, 1.77160398947, 0.610632848554, 0.0
0.25, 0.2, 3.62565139234, 8.1243168862, 2.07976670275, 0.562581693211, 0.0
0.25, 0.16666666666666666, 5.34421677433, 10.3396879225, 2.49724988393, 0.516953188447, 0.0
0.25, 0.14285714285714285, 8.03377124861, 13.5283467123, 3.06354203897, 0.475214310335, 0.0
0.25, 0.125, 12.0128385077, 18.0145689241, 3.8204076751, 0.437514891464, 0.0
0.25, 0.1111111111111111, 17.4170218164, 23.9197156695, 4.73317282775, 0.406114576753, 0.0
0.25, 0.1, 24.2129890002, 31.2139314668, 5.72623599754, 0.383360317713, 0.0
0.2, 1.0, 2.41584003753, 5.41629157502, 1.55175035621, 0.707739357143, 0.0
0.2, 0.5, 2.58997154858, 6.08769223208, 1.68108236832, 0.659620007484, 0.0
0.2, 0.3333333333333333, 2.98988772922, 6.98720852473, 1.85925457803, 0.610873882322, 0.0
0.2, 0.25, 3.62279764321, 8.12450538724, 2.08042909251, 0.562244358743, 0.0
0.2, 0.2, 4.68688705005, 9.68569721898, 2.37597813631, 0.515994835885, 0.0
0.2, 0.16666666666666666, 6.37713177966, 11.8797317734, 2.79283588004, 0.46884350303, 0.0
0.2, 0.14285714285714285, 9.05943354746, 15.057659184, 3.35634112259, 0.428902558188, 0.0
0.2, 0.125, 13.0158007182, 19.5193082553, 4.10219815284, 0.389424929041, 0.0
0.2, 0.1111111111111111, 18.2862609148, 25.2855098323, 4.99016067123, 0.359997741123, 0.0
0.2, 0.1, 25.6273837073, 33.1299123502, 6.08298407898, 0.336131410037, 0.0
0.16666666666666666, 1.0, 4.13949902104, 7.64989354412, 1.9676706969, 0.662651981628, 0.0
0.16666666666666666, 0.5, 4.31781007042, 8.31092646835, 2.10177400483, 0.614819150474, 0.0
0.16666666666666666, 0.3333333333333333, 4.73942519416, 9.24922337098, 2.28343202384, 0.563862188595, 0.0
0.16666666666666666, 0.25, 5.30560962443, 10.2906493987, 2.48274938145, 0.518599904622, 0.0
0.16666666666666666, 0.2, 6.37711882068, 11.8753694725, 2.78597542752, 0.469942014475, 0.0
0.16666666666666666, 0.16666666666666666, 8.05325175911, 14.0492138095, 3.19358957686, 0.425684038507, 0.0
0.16666666666666666, 0.14285714285714285, 10.8244556861, 17.3255911778, 3.78481484765, 0.381446800121, 0.0
0.16666666666666666, 0.125, 14.8140172943, 21.8257156811, 4.5385704433, 0.342937896848, 0.0
0.16666666666666666, 0.1111111111111111, 20.198890728, 27.6991066594, 5.42971264755, 0.315015988445, 0.0
0.16666666666666666, 0.1, 27.2384082662, 35.2472678401, 6.47009224583, 0.291045363415, 0.0
0.14285714285714285, 1.0, 6.80540645066, 10.8073810939, 2.53634440835, 0.620144953759, 0.0
0.14285714285714285, 0.5, 6.94634278459, 11.4459487533, 2.6603578257, 0.570617165796, 0.0
